rep,cov_ci,cov_pi,cov_ri,w_ci,w_pi,w_ri,sigma
0,0.9625,0.955,1.0,3.710133499078639,5.268169783470898,5.246921112611759,1.3317124483837866
1,0.95,0.9525,0.9925,3.890563181889215,5.60127638824983,5.50208721709715,1.3926901569541406
2,0.9475,0.955,0.9975,4.09960336571884,5.6891903557503705,5.797714680149971,1.462478887826713
3,0.94,0.9475,0.98,3.7433728954218917,5.6174096461766085,5.293928717725482,1.3311951737486516
4,0.9625,0.935,0.975,3.4444049184300263,5.084638226236209,4.871124149948338,1.2338973708078904
5,0.9625,0.95,0.9875,3.5756087759296222,5.031282164547865,5.056674424659934,1.2717843187365032
6,0.9525,0.94,0.9875,3.8579230205260804,5.248496378063237,5.455927058219358,1.3724415465962712
7,0.94,0.97,0.995,3.6864377460804123,5.968784692936221,5.213410257351024,1.3215864818292071
8,0.96,0.95,0.9825,3.7777560028479713,5.103861723708839,5.342553774563974,1.3462343956505833
9,0.95,0.98,0.985,3.5752373273526903,5.698710078778402,5.056149117044712,1.271021851500335
10,0.9475,0.92,0.98,4.09518902487704,5.237584052444164,5.79147185946256,1.4710926931089632
11,0.9325,0.895,0.985,3.633383985138654,4.5027330959352465,5.138380909092288,1.300811474778722
12,0.9675,0.97,0.9975,3.8292237203523736,5.3907217737946835,5.415340118683087,1.3741412418474628
13,0.945,0.955,0.995,3.8292668483165238,5.645967014386532,5.415401110834908,1.3701078418810098
14,0.9425,0.9625,1.0,3.8947452388408386,5.978944736428949,5.508001538756753,1.3844202477137522
15,0.95,0.9525,0.9825,3.6582327503777687,4.746798405838291,5.17352236990167,1.308985407239131
16,0.9775,0.9375,0.9925,3.636391401598963,4.879442209700324,5.142634038238161,1.2870036417120607
17,0.975,0.965,0.985,3.893231504337999,5.56389845735111,5.505860794893006,1.3948353486510499
18,0.935,0.9475,0.9975,4.288856878542981,5.861579116347617,6.0653595647126215,1.532784737666249
19,0.895,0.92,1.0,4.120793136233905,5.8090059527637585,5.827681540995951,1.4683827762994694
20,0.9625,0.97,1.0,4.417896198549035,6.604007338041503,6.247848721144586,1.5773454794052606
21,0.96,0.965,0.9975,4.112490401667856,5.485198182221368,5.815939701167858,1.4724544629240992
22,0.98,0.96,0.995,4.043971546262742,5.8157714459945,5.719039406575666,1.4460161029353278
23,0.9575,0.9625,0.995,3.604246858102607,5.350319540956408,5.0971747888693235,1.2880527569881046
24,0.92,0.9275,0.9875,3.4145376531360103,4.870687307564998,4.8288854582985445,1.221040833989777
25,0.9625,0.9575,0.9925,4.2736968714627075,5.464778838600116,6.043920077094027,1.5207682377907432
26,0.9475,0.9575,0.9975,3.9845254611437197,5.894114248853725,5.634969946770359,1.430344081154117
27,0.95,0.97,0.9975,4.0576612490135195,6.006912481715906,5.738399569870674,1.4577242812997384
28,0.88,0.9075,0.9875,3.586416157646393,5.5135489878606405,5.0719583704575335,1.2865290146340458
29,0.9175,0.8925,0.995,3.506216749694813,4.6459652917954815,4.958539280038117,1.2471339939224575
30,0.9725,0.9375,0.99,3.4831061574538627,4.766438895420174,4.92585596705649,1.246415854536487
31,0.9725,0.9525,0.9975,3.650441525534527,4.9988957218660985,5.162503914060858,1.3072047733248326
32,0.93,0.965,1.0,3.937719823722048,5.589037325659334,5.568776779533113,1.4010973663878552
33,0.9475,0.9575,0.9925,3.846132835945483,5.667497374737044,5.4392532192825955,1.3753308180353492
34,0.96,0.94,0.9925,3.3673890247285,4.817542780055195,4.7622072285573545,1.2178364282979464
35,0.9425,0.955,0.995,3.8498555224343325,5.541108840655356,5.44451789300359,1.3777286658886376
36,0.97,0.97,1.0,4.282043734027687,5.5805048522595655,6.055724323336688,1.5249980611632097
37,0.965,0.965,0.9925,4.386431486181454,6.092184505633193,6.203350898178185,1.56607948199914
38,0.9425,0.9225,0.995,3.738473173405799,4.936824017396781,5.2869994643984635,1.3370742027003588
39,0.9625,0.9775,0.9875,4.401280327752822,6.2490360131479505,6.224350331313942,1.566552415632385
40,0.9475,0.9325,0.9975,3.8750416606405707,5.270637928225999,5.480136471238657,1.378226633384995
41,0.9675,0.9425,1.0,3.9132545154220235,5.101579343156675,5.534177608727581,1.3941221753869666
42,0.9625,0.9775,0.9925,3.622122729987641,5.627509469635925,5.1224550893283824,1.2931980312860818
43,0.9475,0.935,0.99,3.486044669810886,4.927514019365119,4.930011651084993,1.2455770060301985
44,0.9575,0.9525,1.0,4.067866899694947,5.718101902268348,5.75283253947719,1.4453877963206343
45,0.9,0.8775,0.955,3.1671152624353955,4.08363180677548,4.478977357734961,1.1364524992552718
46,0.9775,0.94,0.9775,3.845264313585312,4.9514891632972535,5.438024943181619,1.3653885013561813
47,0.98,0.9725,0.9825,3.6953525201865807,5.343361139197515,5.226017651797459,1.3177404109785233
48,0.9425,0.9275,0.9875,3.870646041998551,5.21436791299096,5.473920127740094,1.3753640366710245
49,0.985,0.9775,0.9875,3.9580729454968626,5.834384804458355,5.597560440383688,1.4158303960472403
