param_idx,max_rounds,subsample_rate,truncation,outer_bags,learning_rate,mse,coverage,avg_width
0,50,0.9,1.0,8,0.01,0.01105922765525454,0.9233333333333333,0.3851277476072531
1,50,0.9,1.0,2,0.01,0.01105922765525454,0.9233333333333333,0.3851277476072531
2,200,0.9,3.0,4,0.02,0.011071310072603834,0.9233333333333333,0.38510436412730376
3,200,0.9,2.0,4,0.05,0.011071310072603834,0.9233333333333333,0.38510436412730376
4,200,0.7,2.0,8,0.05,0.011032492066751502,0.9266666666666666,0.3851313695849727
5,50,0.7,2.0,4,0.05,0.011024745527195262,0.9266666666666666,0.38520730637592937
6,100,0.9,3.0,8,0.05,0.011024624234895627,0.9266666666666666,0.38511270801574665
7,200,0.9,1.0,4,0.02,0.011071310072603834,0.9233333333333333,0.38510436412730376
8,50,0.5,1.0,4,0.01,0.01107893826177852,0.9266666666666666,0.38535696417694176
9,100,0.7,3.0,2,0.02,0.011144966600336663,0.93,0.3851840032278463
10,100,0.5,1.0,8,0.01,0.011207187147078775,0.9233333333333333,0.38524908896121574
11,100,0.5,3.0,8,0.05,0.011208622023381675,0.9233333333333333,0.3852490961852007
12,200,0.5,3.0,4,0.05,0.0111009828475373,0.9266666666666666,0.3851748328947759
13,50,0.9,3.0,2,0.05,0.01105922765525454,0.9233333333333333,0.3851277476072531
14,50,0.5,2.0,2,0.02,0.01107893826177852,0.9266666666666666,0.38535696417694176
15,200,0.9,3.0,8,0.02,0.011071310072603834,0.9233333333333333,0.38510436412730376
16,200,0.5,3.0,8,0.05,0.0111009828475373,0.9266666666666666,0.3851748328947759
17,50,0.9,1.0,4,0.01,0.01105922765525454,0.9233333333333333,0.3851277476072531
18,200,0.7,1.0,4,0.01,0.011032492066751502,0.9266666666666666,0.3851313695849727
19,100,0.5,2.0,8,0.02,0.011208622023381675,0.9233333333333333,0.3852490961852007
